l[m],1MHz,10MHz,100MHz,1000MHz
0.001,207.0436504,167.0436504,127.0436504,87.04365036
0.00102,206.6996435,166.6996435,126.6996435,86.69964349
0.00105,206.1960784,166.1960784,126.1960784,86.1960784
0.00107,205.8682993,165.8682993,125.8682993,85.86829925
0.0011,205.387943,165.387943,125.387943,85.38794296
0.00112,205.0749295,165.0749295,125.0749295,85.07492946
0.00115,204.6157367,164.6157367,124.6157367,84.61573675
0.00117,204.3162159,164.3162159,124.3162159,84.31621589
0.0012,203.8764005,163.8764005,123.8764005,83.87640052
0.00123,203.4474459,163.4474459,123.4474459,83.4474459
0.00126,203.0288286,163.0288286,123.0288286,83.02882856
0.00129,202.620062,162.620062,122.620062,82.62006195
0.00132,202.2206931,162.2206931,122.2206931,82.22069311
0.00135,201.8302996,161.8302996,121.8302996,81.83029962
0.00138,201.4484869,161.4484869,121.4484869,81.44848691
0.00141,201.0748859,161.0748859,121.0748859,81.07488586
0.00145,200.5889303,160.5889303,120.5889303,80.58893027
0.00148,200.2331817,160.2331817,120.2331817,80.23318175
0.00151,199.8845725,159.8845725,119.8845725,79.88457247
0.00155,199.4303824,159.4303824,119.4303824,79.43038244
0.00158,199.0973669,159.0973669,119.0973669,79.09736688
0.00162,198.6630498,158.6630498,118.6630498,78.66304978
0.00166,198.2393268,158.2393268,118.2393268,78.23932684
0.0017,197.8256935,157.8256935,117.8256935,77.82569351
0.00174,197.4216804,157.4216804,117.4216804,77.42168043
0.00178,197.0268503,157.0268503,117.0268503,77.02685027
0.00182,196.6407948,156.6407948,116.6407948,76.64079484
0.00186,196.2631326,156.2631326,116.2631326,76.26313259
0.00191,195.8023157,155.8023157,115.8023157,75.80231567
0.00195,195.4422659,155.4422659,115.4422659,75.44226591
0.002,195.0024505,155.0024505,115.0024505,75.00245054
0.00204,194.6584437,154.6584437,114.6584437,74.65844367
0.00209,194.2377989,154.2377989,114.2377989,74.23779892
0.00214,193.8270994,153.8270994,113.8270994,73.82709943
0.00219,193.4258858,153.4258858,113.4258858,73.42588577
0.00224,193.0337296,153.0337296,113.0337296,73.03372963
0.00229,192.6502311,152.6502311,112.6502311,72.65023107
0.00234,192.2750161,152.2750161,112.2750161,72.27501607
0.0024,191.8352007,151.8352007,111.8352007,71.83520069
0.00245,191.477007,151.477007,111.477007,71.47700699
0.00251,191.0567015,151.0567015,111.0567015,71.0567015
0.00257,190.6463254,150.6463254,110.6463254,70.64632543
0.00263,190.2454204,150.2454204,110.2454204,70.24542042
0.00269,189.8535592,149.8535592,109.8535592,69.85355916
0.00275,189.4703426,149.4703426,109.4703426,69.47034261
