l[m],1MHz,10MHz,100MHz,1000MHz
0.001,103.5218252,83.52182518,63.52182518,43.52182518
0.00102,103.3498217,83.34982175,63.34982175,43.34982175
0.00105,103.0980392,83.0980392,63.0980392,43.0980392
0.00107,102.9341496,82.93414963,62.93414963,42.93414963
0.0011,102.6939715,82.69397148,62.69397148,42.69397148
0.00112,102.5374647,82.53746473,62.53746473,42.53746473
0.00115,102.3078684,82.30786837,62.30786837,42.30786837
0.00117,102.1581079,82.15810795,62.15810795,42.15810795
0.0012,101.9382003,81.93820026,61.93820026,41.93820026
0.00123,101.723723,81.72372295,61.72372295,41.72372295
0.00126,101.5144143,81.51441428,61.51441428,41.51441428
0.00129,101.310031,81.31003098,61.31003098,41.31003098
0.00132,101.1103466,81.11034656,61.11034656,41.11034656
0.00135,100.9151498,80.91514981,60.91514981,40.91514981
0.00138,100.7242435,80.72424345,60.72424345,40.72424345
0.00141,100.5374429,80.53744293,60.53744293,40.53744293
0.00145,100.2944651,80.29446514,60.29446514,40.29446514
0.00148,100.1165909,80.11659087,60.11659087,40.11659087
0.00151,99.94228624,79.94228624,59.94228624,39.94228624
0.00155,99.71519122,79.71519122,59.71519122,39.71519122
0.00158,99.54868344,79.54868344,59.54868344,39.54868344
0.00162,99.33152489,79.33152489,59.33152489,39.33152489
0.00166,99.11966342,79.11966342,59.11966342,39.11966342
0.0017,98.91284675,78.91284675,58.91284675,38.91284675
0.00174,98.71084022,78.71084022,58.71084022,38.71084022
0.00178,98.51342513,78.51342513,58.51342513,38.51342513
0.00182,98.32039742,78.32039742,58.32039742,38.32039742
0.00186,98.1315663,78.1315663,58.1315663,38.1315663
0.00191,97.90115784,77.90115784,57.90115784,37.90115784
0.00195,97.72113295,77.72113295,57.72113295,37.72113295
0.002,97.50122527,77.50122527,57.50122527,37.50122527
0.00204,97.32922183,77.32922183,57.32922183,37.32922183
0.00209,97.11889946,77.11889946,57.11889946,37.11889946
0.00214,96.91354971,76.91354971,56.91354971,36.91354971
0.00219,96.71294288,76.71294288,56.71294288,36.71294288
0.00224,96.51686481,76.51686481,56.51686481,36.51686481
0.00229,96.32511553,76.32511553,56.32511553,36.32511553
0.00234,96.13750803,76.13750803,56.13750803,36.13750803
0.0024,95.91760035,75.91760035,55.91760035,35.91760035
0.00245,95.73850349,75.73850349,55.73850349,35.73850349
0.00251,95.52835075,75.52835075,55.52835075,35.52835075
0.00257,95.32316271,75.32316271,55.32316271,35.32316271
0.00263,95.12271021,75.12271021,55.12271021,35.12271021
0.00269,94.92677958,74.92677958,54.92677958,34.92677958
0.00275,94.7351713,74.7351713,54.7351713,34.7351713
0.00282,94.51684301,74.51684301,54.51684301,34.51684301
0.00288,94.33397543,74.33397543,54.33397543,34.33397543
0.00295,94.12538486,74.12538486,54.12538486,34.12538486
0.00302,93.92168632,73.92168632,53.92168632,33.92168632
0.00309,93.72265559,73.72265559,53.72265559,33.72265559
0.00316,93.52808353,73.52808353,53.52808353,33.52808353
0.00324,93.31092498,73.31092498,53.31092498,33.31092498
0.00331,93.12526531,73.12526531,53.12526531,33.12526531
0.00339,92.91783122,72.91783122,52.91783122,32.91783122
0.00347,92.71523569,72.71523569,52.71523569,32.71523569
0.00355,92.51725812,72.51725812,52.51725812,32.51725812
0.00363,92.32369268,72.32369268,52.32369268,32.32369268
0.00372,92.11096638,72.11096638,52.11096638,32.11096638
0.0038,91.92615325,71.92615325,51.92615325,31.92615325
0.00389,91.72283315,71.72283315,51.72283315,31.72283315
0.00398,91.52416374,71.52416374,51.52416374,31.52416374
0.00407,91.329937,71.329937,51.329937,31.329937
0.00417,91.11910408,71.11910408,51.11910408,31.11910408
0.00427,90.91326768,70.91326768,50.91326768,30.91326768
0.00437,90.71219644,70.71219644,50.71219644,30.71219644
0.00447,90.51567472,70.51567472,50.51567472,30.51567472
0.00457,90.32350118,70.32350118,50.32350118,30.32350118
0.00468,90.11690812,70.11690812,50.11690812,30.11690812
0.00479,89.91511491,69.91511491,49.91511491,29.91511491
0.0049,89.71790358,69.71790358,49.71790358,29.71790358
0.00501,89.52507066,69.52507066,49.52507066,29.52507066
0.00513,89.31947788,69.31947788,49.31947788,29.31947788
0.00525,89.11863911,69.11863911,49.11863911,29.11863911
0.00537,88.92233947,68.92233947,48.92233947,28.92233947
0.0055,88.71457139,68.71457139,48.71457139,28.71457139
0.00562,88.52709887,68.52709887,48.52709887,28.52709887
0.00575,88.32846829,68.32846829,48.32846829,28.32846829
0.00589,88.11951929,68.11951929,48.11951929,28.11951929
0.00603,87.91547894,67.91547894,47.91547894,27.91547894
0.00617,87.7161219,67.7161219,47.7161219,27.7161219
0.00631,87.521238,67.521238,47.521238,27.521238
0.00646,87.31717482,67.31717482,47.31717482,27.31717482
0.00661,87.11779599,67.11779599,47.11779599,27.11779599
0.00676,86.92289126,66.92289126,46.92289126,26.92289126
0.00692,86.71970329,66.71970329,46.71970329,26.71970329
0.00708,86.52116003,66.52116003,46.52116003,26.52116003
0.00724,86.32705386,66.32705386,46.32705386,26.32705386
0.00741,86.12546102,66.12546102,46.12546102,26.12546102
0.00759,85.91698966,65.91698966,45.91698966,25.91698966
0.00776,85.72459076,65.72459076,45.72459076,25.72459076
0.00794,85.52541513,65.52541513,45.52541513,25.52541513
0.00813,85.32001427,65.32001427,45.32001427,25.32001427
0.00832,85.11935866,65.11935866,45.11935866,25.11935866
0.00851,84.92323398,64.92323398,44.92323398,24.92323398
0.00871,84.72146208,64.72146208,44.72146208,24.72146208
0.00891,84.5242711,64.5242711,44.5242711,24.5242711
0.00912,84.32192841,64.32192841,44.32192841,24.32192841
0.00933,84.12419231,64.12419231,44.12419231,24.12419231
0.00955,83.92175775,63.92175775,43.92175775,23.92175775
0.00977,83.72393391,63.72393391,43.72393391,23.72393391
0.01,83.52182518,63.52182518,43.52182518,23.52182518
0.0102,83.34982175,63.34982175,43.34982175,23.34982175
0.0105,83.0980392,63.0980392,43.0980392,23.0980392
0.0107,82.93414963,62.93414963,42.93414963,22.93414963
0.011,82.69397148,62.69397148,42.69397148,22.69397148
0.0112,82.53746473,62.53746473,42.53746473,22.53746473
0.0115,82.30786837,62.30786837,42.30786837,22.30786837
0.0117,82.15810795,62.15810795,42.15810795,22.15810795
0.012,81.93820026,61.93820026,41.93820026,21.93820026
0.0123,81.72372295,61.72372295,41.72372295,21.72372295
0.0126,81.51441428,61.51441428,41.51441428,21.51441428
0.0129,81.31003098,61.31003098,41.31003098,21.31003098
0.0132,81.11034656,61.11034656,41.11034656,21.11034656
0.0135,80.91514981,60.91514981,40.91514981,20.91514981
0.0138,80.72424345,60.72424345,40.72424345,20.72424345
0.0141,80.53744293,60.53744293,40.53744293,20.53744293
0.0145,80.29446514,60.29446514,40.29446514,20.29446514
0.0148,80.11659087,60.11659087,40.11659087,20.11659087
0.0151,79.94228624,59.94228624,39.94228624,19.94228624
0.0155,79.71519122,59.71519122,39.71519122,19.71519122
0.0158,79.54868344,59.54868344,39.54868344,19.54868344
0.0162,79.33152489,59.33152489,39.33152489,19.33152489
0.0166,79.11966342,59.11966342,39.11966342,19.11966342
0.017,78.91284675,58.91284675,38.91284675,18.91284675
0.0174,78.71084022,58.71084022,38.71084022,18.71084022
0.0178,78.51342513,58.51342513,38.51342513,18.51342513
0.0182,78.32039742,58.32039742,38.32039742,18.32039742
0.0186,78.1315663,58.1315663,38.1315663,18.1315663
0.0191,77.90115784,57.90115784,37.90115784,17.90115784
0.0195,77.72113295,57.72113295,37.72113295,17.72113295
0.02,77.50122527,57.50122527,37.50122527,17.50122527
0.0204,77.32922183,57.32922183,37.32922183,17.32922183
0.0209,77.11889946,57.11889946,37.11889946,17.11889946
0.0214,76.91354971,56.91354971,36.91354971,16.91354971
0.0219,76.71294288,56.71294288,36.71294288,16.71294288
0.0224,76.51686481,56.51686481,36.51686481,16.51686481
0.0229,76.32511553,56.32511553,36.32511553,16.32511553
0.0234,76.13750803,56.13750803,36.13750803,16.13750803
0.024,75.91760035,55.91760035,35.91760035,15.91760035
0.0245,75.73850349,55.73850349,35.73850349,15.73850349
0.0251,75.52835075,55.52835075,35.52835075,15.52835075
0.0257,75.32316271,55.32316271,35.32316271,15.32316271
0.0263,75.12271021,55.12271021,35.12271021,15.12271021
0.0269,74.92677958,54.92677958,34.92677958,14.92677958
0.0275,74.7351713,54.7351713,34.7351713,14.7351713
0.0282,74.51684301,54.51684301,34.51684301,14.51684301
0.0288,74.33397543,54.33397543,34.33397543,14.33397543
0.0295,74.12538486,54.12538486,34.12538486,14.12538486
0.0302,73.92168632,53.92168632,33.92168632,13.92168632
0.0309,73.72265559,53.72265559,33.72265559,13.72265559
0.0316,73.52808353,53.52808353,33.52808353,13.52808353
0.0324,73.31092498,53.31092498,33.31092498,13.31092498
0.0331,73.12526531,53.12526531,33.12526531,13.12526531
0.0339,72.91783122,52.91783122,32.91783122,12.91783122
0.0347,72.71523569,52.71523569,32.71523569,12.71523569
0.0355,72.51725812,52.51725812,32.51725812,12.51725812
0.0363,72.32369268,52.32369268,32.32369268,12.32369268
0.0372,72.11096638,52.11096638,32.11096638,12.11096638
0.038,71.92615325,51.92615325,31.92615325,11.92615325
0.0389,71.72283315,51.72283315,31.72283315,11.72283315
0.0398,71.52416374,51.52416374,31.52416374,11.52416374
0.0407,71.329937,51.329937,31.329937,11.329937
0.0417,71.11910408,51.11910408,31.11910408,11.11910408
0.0427,70.91326768,50.91326768,30.91326768,10.91326768
0.0437,70.71219644,50.71219644,30.71219644,10.71219644
0.0447,70.51567472,50.51567472,30.51567472,10.51567472
0.0457,70.32350118,50.32350118,30.32350118,10.32350118
0.0468,70.11690812,50.11690812,30.11690812,10.11690812
0.0479,69.91511491,49.91511491,29.91511491,9.915114913
0.049,69.71790358,49.71790358,29.71790358,9.717903581
0.0501,69.52507066,49.52507066,29.52507066,9.525070664
0.0513,69.31947788,49.31947788,29.31947788,9.319477879
0.0525,69.11863911,49.11863911,29.11863911,9.118639113
0.0537,68.92233947,48.92233947,28.92233947,8.922339467
0.055,68.71457139,48.71457139,28.71457139,8.714571391
0.0562,68.52709887,48.52709887,28.52709887,8.52709887
0.0575,68.32846829,48.32846829,28.32846829,8.328468287
0.0589,68.11951929,48.11951929,28.11951929,8.119519285
0.0603,67.91547894,47.91547894,27.91547894,7.915478938
0.0617,67.7161219,47.7161219,27.7161219,7.7161219
0.0631,67.521238,47.521238,27.521238,7.521237996
0.0646,67.31717482,47.31717482,27.31717482,7.317174821
0.0661,67.11779599,47.11779599,27.11779599,7.117795991
0.0676,66.92289126,46.92289126,26.92289126,6.922891262
0.0692,66.71970329,46.71970329,26.71970329,6.719703292
0.0708,66.52116003,46.52116003,26.52116003,6.521160027
0.0724,66.32705386,46.32705386,26.32705386,6.327053857
0.0741,66.12546102,46.12546102,26.12546102,6.125461022
0.0759,65.91698966,45.91698966,25.91698966,5.916989663
0.0776,65.72459076,45.72459076,25.72459076,5.724590756
0.0794,65.52541513,45.52541513,25.52541513,5.525415133
0.0813,65.32001427,45.32001427,25.32001427,5.320014269
0.0832,65.11935866,45.11935866,25.11935866,5.119358655
0.0851,64.92323398,44.92323398,24.92323398,4.923233979
0.0871,64.72146208,44.72146208,24.72146208,4.721462081
0.0891,64.5242711,44.5242711,24.5242711,4.5242711
0.0912,64.32192841,44.32192841,24.32192841,4.321928415
0.0933,64.12419231,44.12419231,24.12419231,4.124192306
0.0955,63.92175775,43.92175775,23.92175775,3.921757749
0.0977,63.72393391,43.72393391,23.72393391,3.723933907
0.1,63.52182518,43.52182518,23.52182518,3.521825181
0.102,63.34982175,43.34982175,23.34982175,3.349821746
